NAME,0,1,2,3,4,5,6,7,8,9,10,11,
Melia azedarach,,,,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Melia_azedarach
Sophora japonica,,,,,,,1,1,,,,,https://en.wikipedia.org/wiki/Styphnolobium_japonicum
Ailanthus altissima,,,,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Ailanthus_altissima
Citrus aurantium,,,,,1,1,1,1,1,,,,https://en.wikipedia.org/wiki/Bitter_orange
Platanus sp,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Platanus_%C3%97_acerifolia
Brachychiton populneus,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Brachychiton_populneus
Cedrus sp,,,,,,,,,1,1,1,,https://en.wikipedia.org/wiki/Cedrus
Ulmus sp,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Elm
Ligustrum japonicum,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Ligustrum_japonicum
Gleditsia triacanthos,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Honey_locust
Casuarina equisetifolia,,,,,,,,1,1,1,1,,https://en.wikipedia.org/wiki/Casuarina_equisetifolia
Catalpa bignonioides,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Catalpa_bignonioides
Brachychiton sp,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Brachychiton_spectabilis
Koelreuteria paniculata,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Koelreuteria_paniculata
Pittosporum tobira,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Pittosporum_tobira
Citrus limon,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Lemon
Tipuana tipu,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Tipuana
Ulmus pumila,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Ulmus_pumila
Acer negundo,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Acer_negundo
Ligustrum sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Privet
Platanus x hybrida,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Platanus_%C3%97_acerifolia
Morus sp,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Morus_(plant)
Vitis vinifera,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Vitis_vinifera
Cupressus sempervirens,1,1,1,1,,,,,,,1,1,https://en.wikipedia.org/wiki/Cupressus_sempervirens
Fraxinus angustifolia,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Fraxinus_angustifolia
Bauhinia forficata,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Bauhinia_forficata
Platanus hispanica,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Platanus_%C3%97_acerifolia
Robinia pseudoacacia,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Robinia_pseudoacacia
Liquidambar styraciflua,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Liquidambar_styraciflua
Celtis australis,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Celtis_australis
